room	start	duration	status
corridor	2024-11-16 20:20:53	0.0	Normal
entrance	2024-11-16 20:20:59	0.0	Normal
corridor	2024-11-16 20:20:59	10.0	Emergency
entrance	2024-11-16 20:21:09	0.0	Normal
corridor	2024-11-16 20:21:23	0.0	Normal
entrance	2024-11-16 20:21:23	0.0	Normal
corridor	2024-11-16 20:21:27	0.0	Normal
entrance	2024-11-16 20:21:27	11.0	Emergency
corridor	2024-11-16 20:21:38	0.0	Normal
entrance	2024-11-16 20:21:44	0.0	Normal
corridor	2024-11-16 20:21:44	0.0	Normal
entrance	2024-11-16 20:21:53	0.0	Normal
corridor	2024-11-16 20:21:53	0.0	Normal
entrance	2024-11-16 20:22:01	0.0	Normal
corridor	2024-11-16 20:22:01	0.0	Normal
entrance	2024-11-16 20:22:10	0.0	Normal
corridor	2024-11-16 20:22:10	0.0	Normal
entrance	2024-11-16 20:22:24	0.0	Normal
corridor	2024-11-16 20:22:24	0.0	Normal
entrance	2024-11-16 20:22:53	0.0	Normal
corridor	2024-11-16 20:22:53	8.0	Emergency
entrance	2024-11-16 20:23:01	8.0	Emergency
corridor	2024-11-16 20:23:09	0.0	Normal
entrance	2024-11-16 20:23:18	0.0	Normal
corridor	2024-11-16 20:23:18	0.0	Normal
entrance	2024-11-16 20:23:26	0.0	Normal
corridor	2024-11-16 20:23:26	0.0	Normal
entrance	2024-11-16 20:23:32	0.0	Normal
corridor	2024-11-16 20:23:32	0.0	Normal
entrance	2024-11-16 20:23:40	0.0	Normal
corridor	2024-11-16 20:23:40	0.0	Normal
entrance	2024-11-16 20:23:46	0.0	Normal
corridor	2024-11-16 20:23:46	0.0	Normal
entrance	2024-11-16 20:23:53	0.0	Normal
corridor	2024-11-16 20:23:53	0.0	Normal
entrance	2024-11-16 20:23:58	0.0	Normal
corridor	2024-11-16 20:23:58	0.0	Normal
entrance	2024-11-16 20:24:08	0.0	Normal
corridor	2024-11-16 20:24:08	0.0	Normal
entrance	2024-11-16 20:24:14	0.0	Normal
corridor	2024-11-16 20:24:14	10.0	Emergency
entrance	2024-11-16 20:24:24	13.0	Emergency
